Name,Disc. Date,mmax,Host Name,R.A.,Dec.,Type
SN1990K,1990/05/25,14.57,NGC 150,"00:34:13.98,00:34:14.01,00:34:14.059,00:34:14.06","-27:47:45.9,-27:47:46.69,-27:47:46.72,-27:47:46.7",II
SN1935C,1935/08/16,12.5,NGC 1511,"03:59:44,03:59:44.600,03:59:44.6,03:59:46.61","-67:38.3,-67:38:15.00,-67:38:15.0,-67:38:11.1",
SN2014dm,2014/09/27,16.5,NGC 1516A,04:08:07.13,-08:49:37.2,Ia
SN2018ezx,2018/08/12,17.2,NGC 1516B,"04:08:08.172,04:08:08.184","-08:50:00.26,-08:50:00.276",Ia
SN2018gsk,2018/09/15,16.4,NGC 1517,"04:09:11.620,04:09:11.544","+08:38:51.83,+08:38:50.568",Ic
SN2008ge,2008/10/08,13.82,NGC 1527,04:08:24.68,-47:53:47.4,Ia-02cx
SN2016ija,2016/11/22,13.26,NGC 1532,"04:12:07.620,04:12:07.608","-32:51:10.93,-32:51:10.44",Ia-91T
SN2016iae,2016/11/07,14.99,NGC 1532,"04:12:05.530,04:12:05.52","-32:51:44.75,-32:51:44.64",Ic
SN1981A,1981/02/24,13.5,NGC 1532,"04:12:10,04:12:10.900,04:12:10.9,04:12:09.88","-32:52.2,-32:52:13.00,-32:52:13.0,-32:52:12.0",II
SN1997D,1997/01/15,16.07,NGC 1536,"04:11:01.00,04:11:01.000","-56:29:56.0,-56:29:56.00",II
SN2005ax,2005/03/26,14.5,NGC 1544,"05:02:37.19,05:02:38.11","+86:13:20.9,+86:13:22.2",
SN2009ib,2009/08/06,14.43,NGC 1559,"04:17:40.09,04:17:39.92","-62:46:40.3,-62:46:38.7",II P
SN2005df,2005/08/04,12.37,NGC 1559,04:17:37.85,-62:46:09.5,Ia
SN1986L,1986/10/07,13.02,NGC 1559,"04:17:29.4,04:17:31.224,04:17:29.369,04:17:29.37,04:17:29.40","-62:47:04,-62:47:07.08,-62:47:04.31,-62:47:04.3,-62:47:04.0",II P
SN1984J,1984/07/27,13.5,NGC 1559,"04:17:36,04:17:37.000,04:17:37.0,04:17:32.13","-62:47.1,-62:47:07.00,-62:47:07.0,-62:47:11.0",II
SN2016K,2016/01/14,16.64,NGC 1562,"04:21:48.21,04:21:48.22,04:21:48.216","-15:45:19.3,-15:45:19.08",Ia
SN2010el,2010/06/19,16.3,NGC 1566,04:19:58.83,-54:56:38.5,Ia-02cx
SN2009em,2009/05/05,14.73,NGC 157,00:34:44.53,-08:23:57.6,Ic
SN2009la,2009/11/12,15.7,NGC 1572,04:22:45.74,-40:36:48.1,Ia
SN2010X,2010/02/07,17.41,NGC 1573A,04:48:27.90,+73:28:14.8,Ic
SN2014cd,2014/08/09,15.8,NGC 1578,04:23:47.19,-51:36:02.9,Ia
SN2013fz,2013/11/02,15.1,NGC 1578,04:23:46.44,-51:35:46.3,Ia
SN2001eb,2001/08/29,16.3,NGC 1589,"04:30:45.10,04:30:45.101","+00:52:17.9,+00:52:17.90",Ia
SN2007rz,2007/12/08,16.2,NGC 1590,04:31:10.84,+07:37:51.5,Ic
SN2008V,2008/02/06,16.8,NGC 1591,04:29:31.30,-26:42:39.8,II
SN2005aq,2005/03/07,17.2,NGC 1599,04:31:38.82,-04:35:06.8,IIn
SN2000fm,2000/12/14,16.5,NGC 1612,"04:33:15.00,04:33:15.000","-04:10:39.5,-04:10:39.50",II
SN1996D,1996/02/09,18.2,NGC 1614,"04:34:00.30,04:34:00.300","-08:34:44.0,-08:34:43.98",Ic
SN2009K,2009/01/14,14.81,NGC 1620,04:36:36.77,-00:08:35.6,II
SN2010kg,2010/11/29,15.7,NGC 1633,"04:40:08.40,04:40:08.4","+07:21:00.0,+07:20:59.82",Ia
